net,length_um
net27,1310.81
net13,1299.8
_05467_,1231.26
net1,1207.97
net62,1171.4
net64,1162.21
net44,1144.34
net14,1122.16
net19,1117.54
net127,1099.28
net52,1092.85
net31,1080.715
net33,1045.345
net11,1025.68
net36,1016.6
_05388_,1009.82
net10,995.1
net17,986.07
_05468_,979.04
_01356_,968.95
net56,967.78
net22,967.38
net55,962.98
net46,962
net3,960.99
net37,942.49
net47,941.3
net58,910.875
_03172_,901.94
net6,899.15
net98,896.92
net78,889.62
net63,883.96
net18,877.18
net38,861.6
net16,858.16
_05637_,854.28
_05541_,853.92
_02228_,849.28
net15,841.54
net35,839.44
_00319_,839.22
_02051_,837.88
net34,822.96
_02052_,817
net43,798.5
net76,796.14
_01849_,792.955
_03736_,784.145
_05574_,780.875
_00439_,776.945
_00041_,776.33
_02045_,772.35
_01050_,768.975
_00623_,765.795
_01497_,760.12
_00340_,754.66
_00076_,740.37
net53,739.86
_00409_,738.985
_00985_,738.105
_00762_,736.575
_01800_,733.76
_03478_,733.74
net9,730.38
_03675_,726.66
_00428_,724.92
_01935_,722.46
net29,720
_00843_,718.34
_00237_,713.28
_04596_,713.07
_03627_,711.665
_02865_,709.92
_00624_,708.8
_03027_,708.39
net59,706.42
_01357_,706.32
_02174_,704.96
net12,704.78
net57,702.66
_03178_,701.32
_02695_,700.6
_03247_,700.02
net60,697.14
_01039_,691.505
net4,691.34
_04085_,690.015
net50,689.18
_05320_,687.575
_00657_,687.495
_00283_,686.58
_03294_,686.45
net42,685.78
net8,684.76
net5,684.66
_02677_,684
_02864_,683.945
_00974_,677.89
_04998_,676.74
_02400_,672.65
_00355_,671.78
_05311_,670.935
_03572_,669.56
_02161_,668.01
_00152_,667.02
_01978_,663.22
_01651_,659.455
net2,656.75
_05589_,653.52
_04585_,651.66
_03171_,650.52
_04922_,650.23
_01782_,650.175
_05410_,649.825
_02866_,648.71
_03026_,647.165
_00042_,644.54
_00799_,643.775
_03583_,643.15
_03365_,641.52
net40,641.5
_02227_,641.28
_03807_,638.25
_05557_,637.8
_00143_,637.55
net88,635.74
net39,634.74
net119,630.1
_05419_,623.53
_00356_,617.7
_02251_,616.77
net7,616.17
_01662_,615.555
_05463_,614.73
_00548_,613.24
_02230_,611.33
net48,609.48
_00751_,609.425
_00646_,609.12
_03310_,600.5
_05636_,600.04
net148,596.64
_00138_,594.5
net150,592.98
_02764_,592.56
_00526_,592.18
net174,592.02
_03052_,592
net130,590.86
_04552_,589.9
net156,589.64
net184,589.26
net138,588.6
_01620_,588.42
_01171_,588.1
net168,587.68
net146,587.54
_05656_,587.43
_03091_,586.825
_00461_,586.1
_02447_,586.05
_05304_,585.17
net152,584.96
net155,584.38
net161,584.18
net151,582.6
_03373_,581.8
net51,579.42
_04531_,579.04
_02840_,578.52
net61,577.96
_05308_,575.98
_02862_,575.54
_03321_,574.255
_03080_,572.005
net132,570.94
_02236_,570.775
_04889_,568.72
net41,568.58
net192,568
net115,567.58
_00495_,567.53
_05676_,566.37
net147,565.14
_03012_,565.06
_01977_,562.64
_03341_,559.85
_01980_,559.49
_01249_,559.365
_00504_,559.12
net167,558.9
_01441_,558.88
net137,558.38
net140,556.88
net145,556.74
net142,556.38
net49,555.46
_02868_,553.36
net134,552.78
net100,552.64
net158,552.3
net149,552.2
net166,552.18
net69,551.06
net54,550.04
net65,550
net129,549.32
net82,549.22
net144,549.06
net157,548.69
net165,548.26
net153,547.98
net223,547.86
net135,547.74
net30,546.76
_00496_,546.34
_01771_,546.12
_00690_,545.925
_02065_,541.28
_02178_,541.23
_01221_,537.325
_05307_,536.37
_00635_,536.32
_04737_,535.08
_03834_,534.28
net185,533.02
_00269_,531.47
net162,530.54
_03690_,530.16
_01042_,528.88
_05551_,526.055
_03030_,523.76
_02197_,523.68
_00609_,523.56
_04878_,522.31
_03100_,522.08
net139,521.86
_00139_,521.84
_03006_,521.47
net77,520.02
_02054_,519.75
_02850_,519.72
_02345_,518.97
_00896_,517.12
_03616_,516.61
net94,515.99
_05464_,514.32
_04976_,514.2
_03791_,514.17
_02384_,513.04
_02232_,511.06
_01949_,510.2
_05305_,510
_02838_,508.68
net143,507.94
_01898_,506.3
_05553_,506.27
net45,504.86
_05659_,504.69
_04900_,502.94
_00395_,502.69
net170,501.42
_03297_,501.04
net131,500.36
net80,498.62
_01041_,498.22
_03396_,494.335
_01552_,493.42
_02947_,493.3
_05655_,493.3
_02173_,491.72
_00963_,491.71
net141,490.36
_05008_,490.34
net20,490.24
_01610_,490.23
_04748_,489.82
_00488_,488.625
_02721_,485.96
_00668_,485.895
net136,485.52
_02351_,485.36
_03201_,485.315
net133,485.29
net28,485.28
net70,484.5
_04716_,483.98
_03827_,483.31
_01192_,482.2
_00754_,482.04
net21,482
_02626_,481.245
_02302_,480.74
_00406_,479.805
_01605_,479.8
_00038_,478.7
_00330_,477.43
net323,476.74
_02516_,475.815
_05310_,475.79
_02219_,475.01
_03489_,474.95
_00987_,474.78
_02732_,473.66
_03440_,473.46
_03288_,473.06
_01903_,472.69
_02919_,472.31
_01181_,471.995
_02325_,469.66
_01247_,469.54
_03324_,468.14
_00384_,466.99
net26,466.82
_01007_,466.64
net172,465.98
_04042_,465.74
_05585_,464.41
_02163_,462.64
_02281_,460.5
_05497_,459.235
_00753_,458.815
_04543_,457.98
_00908_,456.31
_05686_,455.9
_00344_,454.11
_01606_,453.14
_05539_,448.845
_00034_,447.96
net32,445.56
_03649_,445.01
net75,444.36
_02751_,443.74
_00533_,439.445
_02105_,435.905
_04781_,434.22
_02645_,433.58
_03605_,433.06
_00294_,432.62
_00537_,432.5
_00546_,432.42
_00614_,430.72
net68,429.06
_05552_,428.36
net23,427.82
_03780_,425.06
_01503_,424.62
_01864_,424.02
_00748_,423.05
_00089_,422.91
net118,422.05
_00558_,421.98
_03085_,420.92
_01682_,420.81
_04770_,419.66
net305,419.29
net111,419.04
_05486_,418.46
_05284_,416.32
_02666_,415.745
_00362_,414.645
_00914_,413.73
net74,413
_03433_,412.185
_01500_,411.975
_00747_,411.015
_02459_,410.43
_02113_,409.4
_00346_,408.56
_00349_,406.46
_05502_,406.06
_00348_,405.69
net25,404.86
_00087_,404.755
_02984_,403.95
net99,403.9
_01414_,403.52
_02941_,403.36
_04726_,403.04
_01379_,402.78
_03255_,402.65
_00610_,402.465
_03387_,402.24
_00411_,401.66
_00187_,401
_01604_,400.24
_03323_,400.1
_00236_,399.535
_03332_,399.22
_03015_,397.4
net97,396.04
_00350_,394.68
net187,394.2
net186,391.9
_05319_,391.62
_00297_,390.08
net109,389.6
_05689_,388.51
net96,388.33
_02104_,388.31
_00898_,388
_01502_,386.82
_02321_,386.44
_00686_,384.68
_00392_,384.48
_03574_,383.56
_00373_,383.245
net93,382.97
net101,382.84
net300,382.08
_02812_,381.1
_02492_,380.36
net103,379.38
net112,378.62
_04542_,377.66
_03856_,377.09
_00150_,376.19
_02064_,376.05
_03254_,375.41
_00387_,374.86
_04074_,374.3
_00358_,373.82
_01603_,373.55
_04157_,373.42
_05343_,371.75
_00798_,370.18
_00895_,369.895
_02723_,369.58
_00084_,366.82
_02837_,366.56
_00758_,365.36
net87,364.02
net95,362.62
_05327_,362.56
_03084_,361.78
_04724_,361.23
net84,361
_02813_,360.16
_05550_,358.955
_05030_,358.86
_01236_,358.8
_02576_,358.7
_02976_,357.59
_02699_,356.51
net169,354.24
_04550_,353.74
_00617_,353.68
net116,351.86
_02134_,351.74
net154,349.57
_05387_,349.52
_02060_,344.38
_00802_,343.8
_01805_,343.61
_02667_,343.44
_00515_,341.66
_00605_,341.22
_03376_,341.08
_01185_,340.75
_02141_,339.98
_05593_,339.86
net175,337.8
_00308_,337.72
net83,335.93
_04705_,335.54
_01856_,335.01
_01040_,333.56
_02234_,333.18
_05540_,332.565
_04638_,331.48
_02185_,330.84
_01760_,330.805
_02061_,328.61
net259,328.14
_00556_,328.11
_00494_,327.8
_00033_,327.4
_01580_,326.82
_00893_,326.69
_01671_,326.48
_00343_,326.14
net188,325.56
_05416_,325.38
_01335_,324.98
net128,324.68
net286,323.74
net66,323.55
net258,323.26
_01501_,322.84
_00094_,322.54
_00421_,322.48
net189,321.44
_01353_,320.645
_04564_,320.16
_02160_,318.54
_02551_,317.48
_01588_,317.2
_00615_,316.5
net67,315.82
_00918_,315
_02458_,314.9
_01284_,314.38
_01046_,314.18
_00189_,310.92
_05693_,309.94
_00151_,309.58
net228,309.48
net104,309.1
_01759_,306.5
_04520_,305.8
_02208_,305.58
_01060_,305.55
net120,304.66
_01673_,303.91
_02843_,303.26
_03004_,302.12
_01486_,301.92
_02981_,300.44
_01762_,299.92
_00498_,299.41
_00983_,295.81
_04873_,294.7
_02408_,294.04
_01194_,293.04
_00611_,292.56
_00240_,291.59
_04040_,291.055
_01338_,289.52
_01680_,289.28
_01109_,289.105
net107,289.04
_05423_,288.86
_00472_,287.665
_00765_,287.52
_01675_,287.1
_05318_,286.12
_01943_,284.72
_01047_,280.52
_05341_,280.45
_02376_,280.42
net310,279.89
_02705_,279.2
_00688_,278.67
_03120_,276.97
_00235_,276.36
_02944_,276.3
_02943_,275.82
_00627_,275
_00894_,273.34
net160,273
_01582_,272.445
_02513_,272.41
_01499_,268.88
_00195_,268.66
_00679_,268.595
_04043_,266.98
_01355_,266.2
_02646_,265.705
net114,265.02
_01278_,264.2
_01674_,263.7
_03216_,262.28
_02320_,261.805
_02108_,261.655
_01798_,261.125
_00252_,261.1
_03119_,260.92
_00351_,259.44
_00232_,258.38
net164,258.22
_00767_,258.1
_03490_,257.36
_02846_,257.24
_00233_,257.06
_00086_,255.88
_02529_,254.76
_01449_,254.62
_00750_,254.505
_02640_,252.84
_02378_,252.58
_01553_,252.38
_02553_,252.2
_03491_,251.895
_05345_,251.72
_01187_,250.87
_03343_,249.8
_00450_,249.105
_00925_,249
_02036_,248.98
_00048_,248.61
_04196_,247.68
_04374_,246.54
_05635_,245.14
net79,243.94
net81,242.61
_00345_,242.46
_00830_,241.935
_01852_,234.24
_03524_,234.03
_00035_,233.84
_01385_,233.14
_00559_,232.43
_03672_,232.36
net72,230.88
_00179_,230.2
_01853_,230.12
_00165_,229.42
_00810_,229.375
_04505_,229.335
_01850_,228.56
_03480_,228.16
_00408_,227.82
net92,227.64
_03618_,226.985
_00243_,226.8
_04800_,226.4
_02110_,225.3
net106,222.75
_04197_,222.2
_04732_,222.04
_05640_,222.04
_02136_,221.99
net110,221.92
_05425_,220.38
_02041_,220.24
_03124_,219.98
_00154_,219.36
_01182_,218.38
_00924_,217.6
_00238_,217.17
_02936_,216.48
_03223_,215.28
_03872_,214.45
_02177_,213.5
_00485_,213.18
_05288_,212.9
_03612_,212.56
_04275_,211.73
_02641_,211.695
_01416_,211.61
_04802_,211.56
_01344_,210.85
net121,210.84
_01508_,210.315
net319,209.86
_00626_,209.52
_04093_,209.52
_01520_,209.08
_00412_,208.54
net208,208.26
_05391_,208.16
_03237_,208.05
_03866_,207.8
_01964_,207.45
_01074_,207.32
_02548_,205.68
_03145_,205.64
_05627_,205.16
_03751_,204.96
_01252_,204.68
_01619_,204.68
_00354_,204.425
_00832_,203.76
_03985_,203.26
_02374_,202.6
net24,202.58
_01114_,201.905
_00837_,201.04
_01783_,201.02
_01704_,200.88
_01976_,200.68
_02692_,200.395
_03986_,200.38
_03611_,199.78
_03238_,199.34
_02079_,196.8
_01748_,195.05
_01438_,194.96
_01888_,194.68
_02894_,194.32
_00050_,194.26
_01566_,193.755
_01887_,193.42
_00248_,193.28
_00612_,193.26
_04050_,192.86
_05622_,192.46
net309,191.1
_01140_,190.58
_00197_,190.18
_01750_,188.98
_04092_,188.84
_02129_,188.4
_04301_,187.38
_04883_,186.785
_02080_,185.86
_05696_,185.58
_01219_,184.255
net90,183.94
_00361_,182.64
_02636_,182.54
_01339_,182.34
_03865_,182.18
_02810_,181.44
_04105_,180.34
_01337_,180.22
_05424_,179.98
_00493_,178.94
net91,178.16
_03273_,178
_00249_,177.81
_02133_,177.64
_03398_,176.28
_01354_,175.56
_04870_,175.44
_02157_,175.18
net86,175.06
net117,174.84
_04587_,174.54
_00577_,173.64
_03274_,173.325
_00641_,172.9
_02055_,172.6
_02233_,172.48
_03960_,171.06
_04866_,170.04
_05658_,169.94
_04165_,169.86
net163,169.12
net108,169.06
_01987_,168.965
_04931_,168.9
_00547_,168.5
_00442_,168.48
_03191_,168.37
_04488_,168.24
_02965_,168.02
_02469_,167.22
_05470_,167.15
_01597_,166.62
_00268_,165.88
_04721_,164.92
_00782_,164.9
_00059_,164.84
_02827_,163.86
_01447_,163.54
net337,163.33
_01916_,162.86
_02995_,162.72
_03579_,162.32
_00443_,160.96
net122,160.84
_00581_,160.665
_05022_,160.09
_02102_,160
_04862_,159.78
_02983_,159.38
_05484_,159.22
_00854_,158.42
_04720_,158.04
_02595_,157.2
_00578_,156.5
_00565_,155.7
_03339_,155.7
_01732_,155.65
_02000_,154.735
_03354_,154.6
_00783_,154.56
_00940_,152.88
_04404_,152.64
_02390_,152.58
_05643_,152.42
_00642_,151.28
_02296_,150.54
_00075_,149.38
_00882_,148.26
_01567_,148.16
_05545_,147.9
_04549_,147.76
net85,147.4
_02427_,147.18
_03811_,147.16
_03638_,147
net224,145.12
_01421_,145.04
_04863_,144.92
_02186_,144.46
_03845_,143.92
_02600_,143.9
_03438_,143.66
_04855_,143.66
_02231_,143.34
_02990_,143.26
_01286_,142.8
_02387_,142.76
_00991_,142.72
_05383_,142.62
_04489_,142.3
_03296_,142.18
_04859_,142.18
_04403_,141.7
_00430_,141.64
_03070_,141.54
_01683_,139.83
_05412_,139.76
_00207_,138.66
_00695_,138.535
_03934_,138.52
_03532_,138.345
_02991_,138.29
net102,138
_04300_,136.8
_04901_,136.5
_03594_,134.62
_03814_,134.26
_03697_,134.055
_03505_,133.86
_02392_,133.82
_00367_,133.34
_03204_,133.16
_04155_,132.84
_01131_,132.48
_01938_,132.48
_04544_,132.26
_03147_,132.24
_01941_,132.2
_03386_,132.06
_05406_,131.88
_02007_,131.46
_04154_,131.26
_02120_,131.12
_02271_,131.1
_00529_,130.8
_03836_,130.46
_01259_,130.36
_00887_,130.16
net159,130
_03011_,129.66
_04872_,129.62
_05491_,129.6
_00801_,128.24
_04586_,128
_05645_,127.7
_05559_,127.58
_00839_,127.16
_02467_,127.12
_00942_,126.52
_02710_,125.85
_03277_,125.24
_03767_,124.98
_02835_,124.5
_00178_,124.48
_00208_,124.195
_04743_,123.56
_03506_,123.28
_03824_,123.26
_02319_,123.125
_04850_,122.86
_02720_,122.76
_04156_,122.61
_02890_,122.36
_01884_,122.275
_00821_,122.14
_04057_,121.77
_03933_,121.62
_05033_,121.09
_02960_,120.82
_00835_,120.81
_00423_,120.57
_04887_,120.36
_05384_,119.96
_02155_,119.66
_03950_,119.605
net73,119.26
_04759_,118.94
_05041_,118.9
_03955_,118.66
_04715_,118.62
_01266_,118.28
_03703_,118.13
_02081_,118.08
_05691_,117.66
_05499_,117.6
_01065_,117.42
_04305_,117.32
_01865_,116.16
_01132_,116.05
_05019_,115.52
_05344_,115.38
_03893_,114.955
_00368_,114.18
_00709_,114.18
_04058_,114.04
_03718_,113.74
_03867_,113.6
_00660_,113.52
_03054_,113.38
_00602_,113.32
_01408_,112.82
_01824_,112.68
_01823_,112.5
_00092_,112.16
_03877_,111.62
_00081_,111.56
_03640_,111.56
_05471_,111.36
_02954_,111.21
_02082_,111.1
_02254_,110.915
net340,110.82
_05339_,110.78
_03074_,110.72
_04481_,110.7
_05405_,110.26
_02152_,110.08
_05695_,110.07
_00853_,110
_02069_,110
_05346_,109.98
_00275_,109.78
_01795_,109.74
net302,109.7
_00314_,109.64
_01432_,109.62
_00710_,109.58
_02008_,109.54
_03320_,109.3
_05485_,109.22
_01222_,108.76
_04926_,108.62
_00391_,108.56
_04003_,108.3
_00563_,108.28
_01008_,108.24
_01243_,108.18
_01018_,108.14
_03413_,108.1
_04139_,107.7
_02206_,106.86
_01886_,106.84
_04897_,106.6
_02205_,106.44
_05697_,106.06
_04448_,105.67
_05555_,105.655
_03110_,105.615
_01423_,105.19
_00813_,105.125
_03570_,105.04
net316,104.82
net252,104.04
_04120_,103.795
_02398_,103.66
_04536_,102.96
_02897_,102.9
_02544_,102.74
_01134_,102.24
_03309_,101.86
_03957_,101.82
_00855_,101.3
_05542_,101.175
_00968_,101.04
_00313_,100.62
_03832_,100.4
_02358_,100.2
_04286_,100.2
_03812_,100.06
_01946_,99.71
_04063_,99.575
_00285_,99.34
_03483_,99.3
_01274_,99.2
_02787_,98.94
_01793_,98.88
_04694_,98.84
_04792_,98.6
_01644_,98.54
_01075_,98.52
_05476_,98.36
_02770_,98.02
_02854_,97.76
_01491_,97.56
net294,97.34
_01282_,97.29
_04920_,97.14
net89,97.12
_01086_,97.075
_04182_,96.24
_03881_,96.16
_01228_,95.98
_05114_,95.88
_03847_,95.68
_03695_,95.15
_03421_,94.9
_01257_,94.82
_02480_,94.8
_04892_,94.69
_01431_,94.48
_00347_,94.34
_02688_,94.34
_02229_,94.28
_04478_,94.08
_04623_,94.06
_00274_,93.98
_04830_,93.62
_00553_,93.34
_01960_,93.04
_03945_,92.96
_00402_,92.68
_01542_,92.52
_01962_,92.5
_00865_,92.48
_03912_,92.38
_03459_,92.315
_04369_,92.3
_01395_,92.14
_05426_,92.08
_03115_,91.71
_03776_,91.62
_03418_,91.58
_04480_,91.52
_01242_,91.495
_03112_,91.46
_04798_,91.04
_01097_,91
_02403_,90.92
_03317_,90.74
_03674_,90.66
_00969_,90.6
_00929_,90.52
_02547_,90.52
_03946_,90.06
_00102_,89.8
_02327_,89.795
_00171_,89.57
_03680_,89.375
_00989_,89.22
_03562_,89.16
_03013_,89.1
_00509_,89.08
_04438_,88.64
_04667_,88.6
_00955_,88.3
_02256_,88.22
_01082_,88.18
_01081_,88.12
_02490_,87.88
_03153_,87.78
_04144_,87.78
_05584_,87.68
_03069_,87.42
_05421_,87.32
_01669_,87.22
_00510_,87.14
_00103_,87.12
_03439_,87.1
_01240_,87.085
_01220_,87
_03701_,86.92
_03022_,86.8
_02618_,86.78
_02664_,86.62
_03101_,86.6
_05342_,86.56
_00299_,86.525
_00981_,86.4
_03163_,86.4
_04447_,86.34
_02855_,86.16
_00693_,85.98
_00158_,85.54
_04899_,85.32
_00888_,85.3
_03538_,85.21
_00284_,85.12
_05575_,85.04
_03951_,84.98
_00828_,84.54
_04813_,84.5
net113,84.2
_03024_,84.015
_00945_,83.96
_00467_,83.76
_00039_,83.52
_01049_,83.44
_03340_,83.38
_03165_,83.36
_04967_,83.22
_02713_,83.2
_03670_,83.18
_00352_,83.1
_03641_,83.085
_04629_,83.06
_01112_,83.02
_05459_,82.9
_01802_,82.8
_04047_,82.6
_03777_,82.46
_01469_,82.37
_04906_,82.34
_03154_,82.26
_04004_,82.185
_03348_,82.16
_04590_,82.14
_03768_,82.02
_05322_,82.02
_03732_,81.84
_01396_,81.78
_04067_,81.72
net320,81.68
_03700_,81.64
_00849_,81.6
_05642_,81.42
_03699_,81.38
_04149_,81.26
_01643_,81.12
_00850_,80.82
_00676_,80.8
_03599_,80.76
_04556_,80.76
_04271_,80.64
_03360_,80.48
_04710_,80.3
_03258_,80.12
_01753_,80.11
_00707_,79.84
_03179_,79.52
_03349_,79.4
_01099_,79.28
_03676_,79.26
_00665_,79.04
_03457_,78.76
_02886_,78.7
_04269_,78.68
_02570_,78.6
_03256_,78.42
_01625_,78.32
_05536_,78.32
_03924_,78.26
_01696_,78.02
_00311_,77.84
_05299_,77.82
_00471_,77.8
_02745_,77.72
_01778_,77.68
_05448_,77.66
_01009_,77.44
_04251_,77.42
_05266_,77.42
_01028_,77.03
_04046_,76.94
_00040_,76.87
_04391_,76.86
_05698_,76.74
_03879_,76.58
_00310_,76.44
net71,76.34
_00771_,76.275
net105,76.2
_04026_,76.125
_00873_,76.1
_01229_,76
_04548_,75.94
_05390_,75.94
_04831_,75.84
_01931_,75.82
_03541_,75.725
_02364_,75.56
_03230_,75.16
_01403_,75.1
_00608_,75.06
_01241_,74.88
_03267_,74.74
_04121_,74.62
_02542_,74.61
